Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
0D1,0200,0D1,0000,000,0000,000,0000,0000,004,0100
0D1,0200,0D2,0200,0D1,0200,000,00D1,0000,004,0100
0D2,EE19,0D3,EE19,0EC,0000,000,0019,0000,004,0100,0EC,0000
0D3,AE16,0D4,AE16,0EA,001A,000,0016,001A,000,0000
0D4,0700,0D5,0700,0D4,0700,000,00D4,001B,000,0000
0D5,0C00,0D6,0C00,7FF,001B,7FF,00D5,001B,000,0000,7FF,001B
0D6,D661,661,D661,7FE,00D7,7FE,D661,001B,000,0000,7FE,00D7
661,AC01,662,AC01,7FF,001B,7FE,0001,001B,000,0000
662,F207,663,F207,662,F207,7FE,0662,001B,000,0000
663,7E09,664,7E09,66D,0B67,7FE,0009,001B,008,1000
664,F905,665,F905,664,F905,7FE,0664,001B,008,1000
665,0500,666,0500,665,001B,7FE,0665,0036,000,0000
666,0500,667,0500,666,0036,7FE,0666,006C,000,0000
667,4C01,668,4C01,7FF,001B,7FE,0001,0087,000,0000
668,6E05,669,6E05,66E,0084,7FE,0005,0003,001,0001
669,CE01,66B,CE01,669,066B,7FE,0001,0003,001,0001
66B,EC01,66C,EC01,7FF,0003,7FE,0001,0003,001,0001,7FF,0003
66C,0A00,0D7,0A00,7FE,00D7,7FF,066C,0003,001,0001
0D7,0800,0D8,0800,7FF,0003,000,00D7,0003,001,0001
0D8,4E13,0D9,4E13,0EC,0000,000,0013,0003,000,0000
0D9,EE12,0DA,EE12,0EC,0003,000,0012,0003,000,0000,0EC,0003
0DA,AE0E,0DB,AE0E,0E9,809B,000,000E,809B,008,1000
0DB,0740,0DC,0740,0DB,0740,000,00DB,809A,009,1001
0DC,0C00,0DD,0C00,7FF,809A,7FF,00DC,809A,009,1001,7FF,809A
0DD,D661,661,D661,7FE,00DE,7FE,D661,809A,009,1001,7FE,00DE
661,AC01,662,AC01,7FF,809A,7FE,0001,809A,009,1001
662,F207,66A,F207,662,F207,7FE,0007,809A,009,1001
66A,AE02,66B,AE02,66D,0B67,7FE,0002,0B67,001,0001
66B,EC01,66C,EC01,7FF,0B67,7FE,0001,0B67,001,0001,7FF,0B67
66C,0A00,0DE,0A00,7FE,00DE,7FF,066C,0B67,001,0001
0DE,0800,0DF,0800,7FF,0B67,000,00DE,0B67,001,0001
0DF,4E0C,0E0,4E0C,0EC,0003,000,000C,0B6A,000,0000
0E0,EE0B,0E1,EE0B,0EC,0B6A,000,000B,0B6A,000,0000,0EC,0B6A
0E1,AE09,0E2,AE09,0EB,001B,000,0009,001B,000,0000
0E2,0C00,0E3,0C00,7FF,001B,7FF,00E2,001B,000,0000,7FF,001B
0E3,D661,661,D661,7FE,00E4,7FE,D661,001B,000,0000,7FE,00E4
661,AC01,662,AC01,7FF,001B,7FE,0001,001B,000,0000
662,F207,663,F207,662,F207,7FE,0662,001B,000,0000
663,7E09,664,7E09,66D,0B67,7FE,0009,001B,008,1000
664,F905,665,F905,664,F905,7FE,0664,001B,008,1000
665,0500,666,0500,665,001B,7FE,0665,0036,000,0000
666,0500,667,0500,666,0036,7FE,0666,006C,000,0000
667,4C01,668,4C01,7FF,001B,7FE,0001,0087,000,0000
668,6E05,669,6E05,66E,0084,7FE,0005,0003,001,0001
669,CE01,66B,CE01,669,066B,7FE,0001,0003,001,0001
66B,EC01,66C,EC01,7FF,0003,7FE,0001,0003,001,0001,7FF,0003
66C,0A00,0E4,0A00,7FE,00E4,7FF,066C,0003,001,0001
0E4,0800,0E5,0800,7FF,0003,000,00E4,0003,001,0001
0E5,0700,0E6,0700,0E5,0700,000,00E5,0004,000,0000
0E6,4E05,0E7,4E05,0EC,0B6A,000,0005,0B6E,000,0000
0E7,EE04,0E8,EE04,0EC,0B6E,000,0004,0B6E,000,0000,0EC,0B6E
0E8,0100,0E9,0100,0E8,0100,000,00E8,0B6E,000,0000
